file,n,maxite,repeat_id,ymin,ymax,stored_bestfun,recovered_final_bestfun,delta_stored_minus_recovered,likely_corrupted
convergence_n500_maxite50_rep1.png,500,50,1,790,808,801.386,807.0093,-5.6233,1
convergence_n500_maxite50_rep10.png,500,50,10,792,804,801.5947,803.653,-2.0583,1
convergence_n500_maxite50_rep2.png,500,50,2,786,806,805.8887,805.9067,-0.018,0
convergence_n500_maxite50_rep3.png,500,50,3,770,810,788.5147,805.4851,-16.9704,1
convergence_n500_maxite50_rep4.png,500,50,4,790,808,654.5603,806.4384,-151.8781,1
convergence_n500_maxite50_rep5.png,500,50,5,798,808,803.1004,807.916,-4.8156,1
convergence_n500_maxite50_rep6.png,500,50,6,785,810,693.3018,806.6185,-113.3167,1
convergence_n500_maxite50_rep7.png,500,50,7,799,808,791.9905,807.0513,-15.0608,1
convergence_n500_maxite50_rep8.png,500,50,8,788,808,806.2185,806.2276,-0.0092,0
convergence_n500_maxite50_rep9.png,500,50,9,792,808,805.5736,806.8806,-1.307,1
